Annual Report Year,Country,CompanyID*,Company Name,Sector,Director Type (ED or SD),DirectorID*,Individual Name,Individual Role,Director Network Size,Time to Retirement,Time in Role,Time on Board,Time in Company,Total Number of Quoted Boards to Date,Total Number of Quoted Current Boards,Avg. Yrs on Other Quoted Boards,Age (Yrs),Number of Qualifications,Gender,Nationality Mix,%Change from Last Period,Total Directors on the Board,Number of SDs on Board,Number of Independent NED on Board,Salary,Bonus,Total Equity Linked Compensation,Total Annual Compensation,Total Wealth,AUDIT COMMITTEE MEMBER   (if yes then put M),REMUNERATION/ COMPENSATION COMMITTEE MEMBER,NOMINATION COMMITTEE MEMBER,AUDIT COMMITTEE SIZE,REMUNERATION/ COMPENSATION COMMITTEE SIZE,NOMINATION COMMITTEE SIZE,NOMINATION COMMITTEE MEMBER_BIN
Dec 2021,Austria,35337718357,:BE AG,Construction & Building Materials,ED,26108249228,Elmar Hasler,CEO,209,11.6,0.3,0.3,0.3,1,1,0,53,2,M,Swiss,,7,5,0,,0.0,0.0,,,N,N,N,0.0,0.0,0.0,0
Dec 2021,Austria,35337718357,:BE AG,Construction & Building Materials,ED,26108359228,Stefan Ruedl,CFO,11,19.3,0.3,0.3,0.3,1,1,0,45,2,M,,,7,5,0,,0.0,0.0,,,N,N,N,0.0,0.0,0.0,0
Dec 2021,Austria,35337718357,:BE AG,Construction & Building Materials,SD,26108379228,Doctor Wilhelm Oskar Klagian,Chairman,187,13.1,0.3,0.3,0.3,1,1,0,56,4,M,,,7,5,0,,0.0,0.0,,,N,N,N,0.0,0.0,0.0,0
Dec 2021,Austria,35337718357,:BE AG,Construction & Building Materials,SD,26108409228,Dietmar Eberle,Deputy Chairman,1265,0.8,0.3,0.3,0.3,1,1,0,69,1,M,,,7,5,0,,0.0,0.0,,,N,N,N,0.0,0.0,0.0,0
Dec 2021,Austria,35337718357,:BE AG,Construction & Building Materials,SD,26108519228,Peter Simma,Board Member - SD,55,8.8,0.3,0.3,0.3,2,1,11.1,61,1,M,,,7,5,0,,0.0,0.0,,,N,N,N,0.0,0.0,0.0,0
Dec 2021,Austria,35337718357,:BE AG,Construction & Building Materials,SD,26108589228,Friedrich Orth,Board Member - SD,6,-7.9,0.3,0.3,0.3,1,1,0,77,3,M,German,,7,5,0,,0.0,0.0,,,N,N,N,0.0,0.0,0.0,0
Dec 2021,Austria,35337718357,:BE AG,Construction & Building Materials,SD,12444085378,Doctor Adrian Rüesch,Board Member - SD,259,2.1,0.3,0.3,0.3,3,2,10.7,67,2,M,Swiss,,7,5,0,,0.0,0.0,,,N,N,N,0.0,0.0,0.0,0
Dec 2008,Germany,1455110171,1&1 AG (1&1 Drillisch AG prior to 06/2021),Telecommunication Services,ED,11083012880,Paschalis Choulidis,CEO,14,19.1,3.9,3.9,10.7,1,1,0,45,0,M,,,8,6,1,,0.0,0.0,,,N,N,N,4.0,0.0,6.0,0
Dec 2008,Germany,1455110171,1&1 AG (1&1 Drillisch AG prior to 06/2021),Telecommunication Services,ED,11083052880,Vlasios Choulidis,Board Member - Sales/Mktg,31,14.1,3.9,9.7,10.7,1,1,0,50,1,M,German,,8,6,1,,0.0,0.0,,,N,N,N,4.0,0.0,6.0,0
Dec 2008,Germany,1455110171,1&1 AG (1&1 Drillisch AG prior to 06/2021),Telecommunication Services,SD,11083072880,Doctor Hartmut Schenk,Chairman,409,21.1,5.3,6.6,6.6,2,1,0,48,3,M,German,,8,6,1,,0.0,0.0,,,M,N,M,4.0,0.0,6.0,1
